* Generated with the following parameters:
* 	scalequalities : None
* 	density        : None
* 	seed           : 58
* 	addedges       : 50
* 	attributes     : 1
* 	out            : random_haverly_7/haverly_10_addedges_50_attr_1_4
* 	haverly        : 10
* 	scalehaverlys  : random

* Statistics about the input graph:
* 	nodes         : 60
* 	edges         : 110
* 	inputs        : 30
* 	pools         : 10
* 	outputs       : 20
* 	components    : 1
* 	density_real  : 0.1
* 	input->pool   : 28
* 	pool->output  : 26
* 	input->output : 56
* 	min_cost      : -15
* 	max_cost      : 16

set V /h2_i3, h2_i2, h2_i1, h9_j2, h9_j1, h3_i3, h1_l1, h0_i2, h0_l1, h8_i1, h8_i3, h8_i2, h6_l1, h3_l1, h0_j1, h4_i1, h0_j2, h4_i3, h4_i2, h3_j1, h3_j2, h3_i1, h3_i2, h1_i2, h1_i3, h7_l1, h1_i1, h4_l1, h8_l1, h9_i2, h5_l1, h0_i1, h1_j2, h1_j1, h7_i1, h7_i2, h7_i3, h9_i1, h9_l1, h6_j2, h6_j1, h5_i2, h5_i3, h5_i1, h2_l1, h7_j1, h9_i3, h0_i3, h7_j2, h2_j2, h2_j1, h8_j1, h8_j2, h6_i3, h6_i2, h6_i1, h4_j1, h4_j2, h5_j2, h5_j1/;
set K /k1, ka_0/;
set I /h2_i3, h2_i2, h2_i1, h3_i3, h0_i2, h8_i1, h8_i3, h8_i2, h4_i1, h4_i3, h4_i2, h3_i1, h3_i2, h1_i2, h1_i3, h1_i1, h9_i2, h0_i1, h7_i1, h7_i2, h7_i3, h9_i1, h5_i2, h5_i3, h5_i1, h9_i3, h0_i3, h6_i3, h6_i2, h6_i1/;
set L /h1_l1, h0_l1, h6_l1, h3_l1, h7_l1, h4_l1, h8_l1, h5_l1, h9_l1, h2_l1/;
set J /h9_j2, h9_j1, h0_j1, h0_j2, h3_j1, h3_j2, h1_j2, h1_j1, h6_j2, h6_j1, h7_j1, h7_j2, h2_j2, h2_j1, h8_j1, h8_j2, h4_j1, h4_j2, h5_j2, h5_j1/;
set A /
    h2_i3.h5_j2, 
    h2_i3.h2_j2, 
    h2_i3.h9_j2, 
    h2_i3.h2_j1, 
    h2_i2.h2_l1, 
    h2_i2.h2_j2, 
    h2_i2.h1_l1, 
    h2_i2.h0_j1, 
    h2_i1.h2_l1, 
    h2_i1.h1_j2, 
    h7_i3.h7_j1, 
    h7_i3.h4_l1, 
    h7_i3.h7_j2, 
    h7_i3.h2_j2, 
    h7_i3.h4_j2, 
    h0_i1.h0_l1, 
    h3_i3.h3_j1, 
    h3_i3.h9_j1, 
    h3_i3.h3_j2, 
    h1_l1.h7_j2, 
    h1_l1.h1_j2, 
    h1_l1.h1_j1, 
    h9_l1.h6_j2, 
    h9_l1.h9_j2, 
    h9_l1.h9_j1, 
    h0_l1.h0_j1, 
    h0_l1.h0_j2, 
    h8_i1.h5_l1, 
    h8_i1.h8_l1, 
    h8_i3.h8_j1, 
    h8_i3.h8_j2, 
    h8_i3.h2_l1, 
    h8_i2.h8_l1, 
    h6_l1.h6_j2, 
    h6_l1.h6_j1, 
    h6_l1.h4_j1, 
    h5_i2.h5_l1, 
    h5_i3.h5_j2, 
    h5_i3.h5_j1, 
    h5_i3.h7_j2, 
    h5_i3.h1_j2, 
    h5_i3.h4_j1, 
    h3_l1.h3_j1, 
    h3_l1.h3_j2, 
    h7_i1.h7_l1, 
    h2_l1.h6_j2, 
    h2_l1.h3_j1, 
    h2_l1.h2_j2, 
    h2_l1.h4_j1, 
    h2_l1.h2_j1, 
    h4_i1.h4_l1, 
    h4_i1.h9_j1, 
    h4_i1.h3_j2, 
    h7_i2.h7_l1, 
    h7_i2.h6_j1, 
    h7_i2.h0_j2, 
    h4_i3.h1_j1, 
    h4_i3.h4_j1, 
    h4_i3.h4_j2, 
    h4_i3.h9_j2, 
    h4_i2.h4_l1, 
    h9_i2.h8_j2, 
    h9_i2.h9_l1, 
    h9_i2.h1_j2, 
    h9_i3.h1_j2, 
    h9_i3.h3_j1, 
    h9_i3.h9_j2, 
    h9_i3.h9_j1, 
    h9_i3.h8_l1, 
    h0_i3.h0_j1, 
    h0_i3.h0_j2, 
    h9_i1.h3_j1, 
    h9_i1.h2_j2, 
    h9_i1.h9_l1, 
    h9_i1.h0_j2, 
    h5_i1.h5_l1, 
    h5_i1.h8_j2, 
    h3_i1.h4_j1, 
    h3_i1.h3_l1, 
    h6_i3.h3_j2, 
    h6_i3.h6_j2, 
    h6_i3.h6_j1, 
    h6_i3.h6_l1, 
    h6_i3.h8_j1, 
    h6_i3.h8_j2, 
    h3_i2.h3_l1, 
    h6_i1.h0_j2, 
    h6_i1.h6_l1, 
    h1_i2.h2_j2, 
    h1_i2.h4_l1, 
    h1_i2.h1_l1, 
    h1_i2.h1_j2, 
    h1_i3.h1_j2, 
    h1_i3.h1_j1, 
    h7_l1.h7_j1, 
    h7_l1.h7_j2, 
    h1_i1.h8_j1, 
    h1_i1.h1_l1, 
    h1_i1.h2_j1, 
    h4_l1.h4_j1, 
    h4_l1.h4_j2, 
    h0_i2.h7_l1, 
    h0_i2.h3_j2, 
    h0_i2.h0_l1, 
    h8_l1.h8_j1, 
    h8_l1.h8_j2, 
    h5_l1.h5_j2, 
    h5_l1.h5_j1, 
    h6_i2.h6_l1, 
    h6_i2.h3_j2
/;
parameter cost(V,V) /
    h2_i3.h5_j2 -10.824558
    h2_i3.h2_j2 -5.000000
    h2_i3.h9_j2 8.505074
    h2_i3.h2_j1 1.000000
    h2_i2.h2_l1 16.000000
    h2_i2.h2_j2 -8.589656
    h2_i2.h1_l1 -5.229226
    h2_i2.h0_j1 -13.941607
    h2_i1.h2_l1 6.000000
    h2_i1.h1_j2 10.109058
    h7_i3.h7_j1 1.000000
    h7_i3.h4_l1 -1.102398
    h7_i3.h7_j2 -5.000000
    h7_i3.h2_j2 6.832861
    h7_i3.h4_j2 15.403516
    h0_i1.h0_l1 6.000000
    h3_i3.h3_j1 1.000000
    h3_i3.h9_j1 -11.220231
    h3_i3.h3_j2 -5.000000
    h1_l1.h7_j2 7.288456
    h1_l1.h1_j2 -15.000000
    h1_l1.h1_j1 -9.000000
    h9_l1.h6_j2 -6.833245
    h9_l1.h9_j2 -15.000000
    h9_l1.h9_j1 -9.000000
    h0_l1.h0_j1 -9.000000
    h0_l1.h0_j2 -15.000000
    h8_i1.h5_l1 0.269418
    h8_i1.h8_l1 6.000000
    h8_i3.h8_j1 1.000000
    h8_i3.h8_j2 -5.000000
    h8_i3.h2_l1 11.911544
    h8_i2.h8_l1 16.000000
    h6_l1.h6_j2 -15.000000
    h6_l1.h6_j1 -9.000000
    h6_l1.h4_j1 4.999701
    h5_i2.h5_l1 16.000000
    h5_i3.h5_j2 -5.000000
    h5_i3.h5_j1 1.000000
    h5_i3.h7_j2 10.941695
    h5_i3.h1_j2 -4.677415
    h5_i3.h4_j1 -3.858019
    h3_l1.h3_j1 -9.000000
    h3_l1.h3_j2 -15.000000
    h7_i1.h7_l1 6.000000
    h2_l1.h6_j2 6.541452
    h2_l1.h3_j1 7.283626
    h2_l1.h2_j2 -15.000000
    h2_l1.h4_j1 -6.337873
    h2_l1.h2_j1 -9.000000
    h4_i1.h4_l1 6.000000
    h4_i1.h9_j1 14.580980
    h4_i1.h3_j2 11.363039
    h7_i2.h7_l1 16.000000
    h7_i2.h6_j1 8.064139
    h7_i2.h0_j2 2.704927
    h4_i3.h1_j1 -11.024942
    h4_i3.h4_j1 1.000000
    h4_i3.h4_j2 -5.000000
    h4_i3.h9_j2 -13.326621
    h4_i2.h4_l1 13.000000
    h9_i2.h8_j2 10.721001
    h9_i2.h9_l1 16.000000
    h9_i2.h1_j2 15.841954
    h9_i3.h1_j2 6.804090
    h9_i3.h3_j1 13.020592
    h9_i3.h9_j2 -5.000000
    h9_i3.h9_j1 1.000000
    h9_i3.h8_l1 -0.914278
    h0_i3.h0_j1 1.000000
    h0_i3.h0_j2 -5.000000
    h9_i1.h3_j1 -6.151117
    h9_i1.h2_j2 -8.697956
    h9_i1.h9_l1 6.000000
    h9_i1.h0_j2 0.101342
    h5_i1.h5_l1 6.000000
    h5_i1.h8_j2 -13.868828
    h3_i1.h4_j1 8.598358
    h3_i1.h3_l1 6.000000
    h6_i3.h3_j2 2.145646
    h6_i3.h6_j2 -5.000000
    h6_i3.h6_j1 1.000000
    h6_i3.h6_l1 4.783028
    h6_i3.h8_j1 4.025232
